search_brand,sector,meta_ad_id,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,publisher_platforms,target_ages,target_gender,ad_delivery_start_date_time,ad_delivery_stop_date_time,collection_timestamp,de_male,de_female,de_unknown,de_age_13_17,de_age_18_24,de_age_25_34,de_age_35_44,de_age_45_54,de_age_55_64,de_age_65_plus,de_age_unknown,commercial_eligibility,eligibility_reason,matched_rule,matched_field,matched_text,manual_classification
Lidl,grocery,1237304154653224,"[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""Schulabschluss in Sicht? Sei live dabei!"",""Schulabschluss in Sicht? Sei live dabei!""]","[""teech.de""]",,"[""facebook"",""instagram""]","[""18"",""65""]",All,2026-03-05,2026-03-05,2026-09-06T21:24:03+00:00,3,2,0,0,0,0,2,1,0,2,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_bodies,bildungsprogramm,noncommercial
Lidl,grocery,737247582523311,"[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""Schulabschluss in Sicht? Sei live dabei!"",""Schulabschluss in Sicht? Sei live dabei!""]","[""teech.de""]",,"[""facebook"",""instagram""]","[""18"",""65""]",All,2026-02-12,2026-03-04,2026-09-06T21:24:07+00:00,560,896,9,0,20,151,227,281,416,370,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_bodies,bildungsprogramm,noncommercial
Lidl,grocery,886408790672034,"[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""Schulabschluss in Sicht? Sei live dabei!"",""Schulabschluss in Sicht? Sei live dabei!""]","[""teech.de""]",,"[""facebook"",""instagram""]","[""18"",""65""]",All,2026-02-12,2026-03-06,2026-09-06T21:24:07+00:00,29096,44862,273,0,1018,6187,8525,12018,19500,26982,1,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_bodies,bildungsprogramm,noncommercial
Lidl,grocery,1442668650770150,"[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""Schulabschluss in Sicht? Sei live dabei!"",""Schulabschluss in Sicht? Sei live dabei!""]","[""teech.de""]",,"[""facebook"",""instagram""]","[""18"",""65""]",All,2026-02-12,2026-03-05,2026-09-06T21:24:07+00:00,4356,6662,57,0,579,2832,2782,2937,1213,732,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_bodies,bildungsprogramm,noncommercial
Lidl,grocery,1874639593419246,"[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""Schulabschluss in Sicht? Sei live dabei!"",""Schulabschluss in Sicht? Sei live dabei!""]","[""teech.de""]",,"[""facebook"",""instagram""]","[""18"",""65""]",All,2026-02-12,2026-03-01,2026-09-06T21:24:07+00:00,12,29,1,0,0,8,14,15,4,1,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_bodies,bildungsprogramm,noncommercial
Lidl,grocery,1359815912175928,,"[""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025""]","[""jobs.lidl.de""]","[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""facebook"",""instagram""]","[""18"",""65""]",All,2025-10-06,2025-10-22,2026-09-06T21:24:34+00:00,562,679,88,0,79,301,390,275,206,78,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_link_descriptions,bildungsprogramm,noncommercial
Lidl,grocery,716401864788882,,"[""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025""]","[""jobs.lidl.de""]","[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""facebook"",""instagram""]","[""18"",""65""]",All,2025-10-02,2025-10-23,2026-09-06T21:24:34+00:00,5397,8120,68,0,1708,2473,2658,3429,2120,1197,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_link_descriptions,bildungsprogramm,noncommercial
Lidl,grocery,748248351549587,,"[""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025""]","[""jobs.lidl.de""]","[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""facebook"",""instagram""]","[""18"",""65""]",All,2025-10-02,2025-10-23,2026-09-06T21:24:34+00:00,39277,31903,389,0,737,6685,16427,18130,18633,10956,1,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_link_descriptions,bildungsprogramm,noncommercial
Lidl,grocery,1134144644873332,,"[""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025""]","[""jobs.lidl.de""]","[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""facebook"",""instagram""]","[""18"",""65""]",All,2025-10-02,2025-10-06,2026-09-06T21:24:34+00:00,966,1331,7,0,60,329,774,525,432,184,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_link_descriptions,bildungsprogramm,noncommercial
Lidl,grocery,1247648544046687,,"[""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025"",""Info-Talk am 23.10.2025""]","[""jobs.lidl.de""]","[""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?"",""Schulabschluss in Sicht? Wie wäre es mit einem Ausbildungsprogramm im #teamlidl?""]","[""facebook"",""instagram""]","[""18"",""65""]",All,2025-10-02,2025-10-20,2026-09-06T21:24:34+00:00,768,1004,228,0,507,678,436,264,75,40,0,exclude_clear_noncommercial,education_or_participation_programme,clear_noncommercial_programme,ad_creative_link_descriptions,bildungsprogramm,noncommercial
